"";"year";"length";"budget";"rating";"Genre";"Genre_bin"
"109";2003;72;NA;4,9;"Documentary";1
"110";1960;125;NA;7,3;"Drama";1
"111";1986;48;NA;8,1;"Documentary";1
"112";1979;122;NA;5,7;"Comedy";1
"113";1979;122;NA;5,7;"Romance";1
"114";1977;84;NA;2,6;"Action";1
"115";1977;84;NA;2,6;"Drama";1
"116";1971;111;NA;7,2;"Drama";1
"117";1999;97;16000000;6,7;"Comedy";1
"118";1999;97;16000000;6,7;"Romance";1
"119";1982;95;NA;3,8;"Action";1
"120";1982;95;NA;3,8;"Drama";1
"121";1973;92;NA;8,6;"Comedy";1
"122";2004;240;NA;7,9;"Drama";1
"123";2004;88;NA;5,9;"Documentary";1
"124";1983;101;NA;5,4;"Action";1
"125";1991;161;NA;5,8;"Romance";1
"126";2001;100;NA;6,2;"Drama";1
"127";2000;90;NA;5,8;"Comedy";1
"128";2000;90;NA;5,8;"Romance";1
"129";2002;98;1100000;5,6;"Comedy";1
"130";2001;88;NA;5,5;"Comedy";1
"131";1997;94;140000;3,3;"Drama";1
"132";1994;9;NA;9,2;"Documentary";1
"133";2004;100;NA;5,9;"Drama";1
"134";1995;101;NA;4,6;"Drama";1
"135";1971;92;NA;6,1;"Drama";1
"136";1994;95;NA;5,1;"Drama";1
"137";1963;79;NA;2,2;"Comedy";1
"138";1959;75;NA;5,2;"Animation";1
"139";1990;98;NA;5,1;"Drama";1
"140";1989;117;200000;7,8;"Documentary";1
"141";1996;103;NA;5,5;"Comedy";1
"142";2000;78;NA;6,3;"Documentary";1
"143";2000;100;NA;5,5;"Comedy";1
"144";2001;103;200000;5,8;"Drama";1
"145";1993;112;NA;5,2;"Comedy";1
"146";1993;112;NA;5,2;"Romance";1
"147";2000;100;85000000;4,7;"Comedy";1
"148";1966;85;NA;6,2;"Drama";1
"149";2004;105;NA;7,4;"Documentary";1
"150";1974;94;NA;6;"Comedy";1
"151";2004;85;NA;4,7;"Comedy";1
"152";2002;134;NA;6,9;"Drama";1
"153";2003;95;6000000;7,1;"Comedy";1
"154";2003;95;6000000;7,1;"Drama";1
"155";1969;94;NA;5,5;"Comedy";1
"156";1957;96;340000;8,7;"Drama";1
"157";2001;150;NA;5,2;"Drama";1
"158";1998;86;NA;5,1;"Drama";1
"159";2003;4;NA;5,2;"Comedy";1
"160";1999;18;NA;7,2;"Comedy";1
"161";2001;89;NA;6,2;"Comedy";1
"162";2001;89;NA;6,2;"Drama";1
"163";1956;55;NA;8,5;"Animation";1
"164";1971;161;NA;8,9;"Comedy";1
"165";1997;60;NA;2,4;"Comedy";1
"166";1959;85;NA;5,2;"Drama";1
"167";2002;92;NA;8,2;"Drama";1
"168";2003;85;NA;2,2;"Action";1
"169";2004;98;37000000;6,4;"Comedy";1
"170";2004;98;37000000;6,4;"Drama";1
"171";2004;98;37000000;6,4;"Romance";1
"172";2004;135;NA;9;"Documentary";1
"173";2002;93;NA;5,6;"Comedy";1
"174";1962;80;NA;6,3;"Drama";1
"175";1982;110;NA;6,4;"Drama";1
"176";1999;102;85000000;6,1;"Action";1
"177";1952;7;NA;7,2;"Animation";1
"178";1952;7;NA;7,2;"Comedy";1
"179";2003;52;NA;8,3;"Drama";1
"180";2003;52;NA;8,3;"Documentary";1
"181";1985;83;NA;3,6;"Drama";1
"182";1992;154;47000000;6;"Drama";1
"183";1998;88;NA;5,5;"Comedy";1
"184";1998;88;NA;5,5;"Drama";1
"185";1998;88;NA;5,5;"Romance";1
"186";2003;90;NA;6,4;"Comedy";1
"187";2003;90;NA;6,4;"Drama";1
"188";1998;92;NA;6,5;"Drama";1
"189";1999;25;NA;4,8;"Comedy";1
"190";2001;120;42000000;6,1;"Drama";1
"191";2000;120;NA;5,5;"Drama";1
"192";2003;74;NA;5,6;"Drama";1
"193";1985;145;NA;7,7;"Documentary";1
"194";2002;158;NA;7,3;"Action";1
"195";1995;86;NA;6,7;"Drama";1
"196";1998;1;NA;5,1;"Documentary";1
"197";1998;107;NA;4,1;"Drama";1
"198";2001;95;NA;5,7;"Drama";1
"199";1972;180;4000000;7,3;"Drama";1
"200";1988;93;NA;4,8;"Comedy";1
"201";1999;87;NA;4,5;"Drama";1
"202";1977;89;NA;2;"Action";1
"203";1977;89;NA;2;"Drama";1
"204";1991;98;NA;5,9;"Drama";1
"205";2004;100;NA;8,5;"Drama";1
"206";2004;100;NA;8,5;"Documentary";1
"207";1934;80;NA;7;"Drama";1
"208";1990;100;NA;4,2;"Drama";1
"209";1997;58;NA;3;"Drama";1
"210";1997;58;NA;3;"Documentary";1
"211";1995;30;NA;7,8;"Animation";1
"212";2000;82;NA;7;"Drama";1
"213";2002;77;NA;5,3;"Comedy";1
"214";1976;245;9000000;7,5;"Drama";1
"215";1985;94;NA;5,8;"Drama";1
"216";1985;99;NA;5;"Drama";1
"217";1925;32;NA;8,2;"Documentary";1
"218";1989;193;NA;5,7;"Drama";1
"219";1979;146;35000000;5,6;"Comedy";1
"220";1993;157;NA;6,5;"Action";1
"221";1993;157;NA;6,5;"Drama";1
"222";1993;157;NA;6,5;"Romance";1
"223";1989;80;NA;7,3;"Drama";1
"224";1955;18;NA;4,6;"Documentary";1
"225";1980;96;NA;5,9;"Action";1
"226";1980;96;NA;5,9;"Drama";1
"227";1988;95;NA;5,3;"Drama";1
"228";2000;8;NA;4,4;"Animation";1
"229";1974;90;NA;7,6;"Documentary";1
"230";1956;90;NA;6,9;"Drama";1
"231";1982;89;NA;3,9;"Action";1
"232";1992;99;NA;6,9;"Documentary";1
"233";1998;92;NA;5,3;"Drama";1
"234";1988;90;NA;6,5;"Drama";1
"235";1999;86;NA;5,6;"Comedy";1
"236";1999;86;NA;5,6;"Romance";1
"237";1905;1;NA;5,2;"Comedy";1
"238";2002;76;NA;1,5;"Drama";1
"239";1996;104;NA;6,4;"Drama";1
"240";1997;90;NA;6,5;"Drama";1
"241";2003;107;76000000;5,1;"Action";1
"242";2000;97;NA;4,4;"Action";1
"243";1999;87;NA;6,5;"Comedy";1
"244";1999;87;NA;6,5;"Drama";1
"245";1968;95;NA;6,9;"Comedy";1
"246";1997;12;NA;7,2;"Documentary";1
"247";1967;90;NA;6,7;"Drama";1
"248";2003;96;NA;5,5;"Comedy";1
"249";2003;96;NA;5,5;"Drama";1
"250";1998;100;NA;6,8;"Comedy";1
"251";1998;100;NA;6,8;"Drama";1
"252";1998;100;NA;6,8;"Romance";1
"253";2004;28;NA;8,2;"Comedy";1
"254";1998;87;60000;5,4;"Comedy";1
"255";1998;87;60000;5,4;"Documentary";1
"256";1998;87;60000;5,4;"Romance";1
"257";2004;74;NA;6,7;"Drama";1
"258";1933;20;NA;6,5;"Comedy";1
"259";1916;105;200000;6,2;"Action";1
"260";1932;78;NA;7;"Drama";1
"261";1999;20;NA;1;"Comedy";1
"262";2003;84;NA;5,4;"Romance";1
"263";1999;101;6000000;5,4;"Comedy";1
"264";1999;101;6000000;5,4;"Drama";1
"265";1971;98;679000;5,2;"Comedy";1
"266";2000;70;NA;7,9;"Documentary";1
"267";1969;80;NA;4,4;"Comedy";1
"268";1954;127;5000000;7,1;"Drama";1
"269";1999;99;NA;3,1;"Action";1
"270";2000;99;26000000;2,5;"Comedy";1
"271";1994;90;NA;4;"Action";1
"272";1994;90;NA;4;"Comedy";1
"273";1994;90;NA;4;"Drama";1
"274";2002;136;NA;6,6;"Action";1
"275";2002;136;NA;6,6;"Drama";1
"276";1984;18;NA;5,8;"Documentary";1
"277";1983;91;NA;5,3;"Action";1
"278";1980;185;NA;6,8;"Drama";1
"279";2004;129;12000000;7,6;"Drama";1
"280";2004;129;12000000;7,6;"Romance";1
"281";1984;10;NA;6,4;"Documentary";1
"282";2004;113;NA;7,1;"Comedy";1
"283";2004;113;NA;7,1;"Drama";1
"284";2004;113;NA;7,1;"Romance";1
"285";2003;101;NA;6,3;"Drama";1
"286";2000;105;NA;6;"Comedy";1
"287";2000;105;NA;6;"Drama";1
"288";2000;105;NA;6;"Romance";1
"289";2003;124;20000000;8;"Drama";1
"290";1996;285;NA;7,6;"Documentary";1
"291";1979;121;NA;6;"Drama";1
"292";1998;100;NA;7,2;"Drama";1
"293";1930;10;NA;4,8;"Comedy";1
"294";2002;91;NA;7,4;"Drama";1
"295";1997;96;NA;6,7;"Comedy";1
"296";1997;96;NA;6,7;"Drama";1
"297";2002;117;NA;7,2;"Comedy";1
"298";2002;117;NA;7,2;"Drama";1
"299";1999;93;2500000;5,6;"Comedy";1
"300";1999;97;NA;6,3;"Comedy";1
"301";2000;86;NA;6;"Drama";1
"302";2002;107;NA;5,6;"Drama";1
"303";1969;95;NA;8,1;"Comedy";1
"304";1999;8;NA;5,9;"Comedy";1
"305";2001;92;200000;7;"Comedy";1
"306";2001;92;200000;7;"Drama";1
"307";1989;5;NA;7,2;"Animation";1
"308";1989;5;NA;7,2;"Comedy";1
"309";2002;135;15000000;7,8;"Drama";1
"310";2000;98;NA;6,6;"Comedy";1
"311";2000;98;NA;6,6;"Drama";1
"312";2000;98;NA;6,6;"Romance";1
"313";1974;86;NA;5;"Drama";1
"314";2000;103;43000000;6;"Drama";1
"315";1971;90;NA;6,2;"Drama";1
"316";2002;93;NA;4,7;"Comedy";1
"317";2002;93;NA;4,7;"Drama";1
"318";1991;101;NA;6,9;"Comedy";1
"319";2004;88;NA;7,3;"Comedy";1
"320";2004;88;NA;7,3;"Drama";1
"321";1998;90;NA;6,4;"Drama";1
"322";1971;86;NA;6;"Drama";1
"323";2000;88;NA;6,5;"Comedy";1
"324";2002;98;NA;5,8;"Drama";1
"325";1937;17;NA;7,1;"Comedy";1
"326";2003;63;NA;7;"Documentary";1
"327";1948;106;NA;6,9;"Drama";1
"328";1990;104;NA;4,5;"Comedy";1
"329";1998;11;NA;7,2;"Animation";1
"330";1998;11;NA;7,2;"Comedy";1
"331";1992;98;NA;4;"Action";1
"332";1992;98;NA;4;"Comedy";1
"333";1994;93;NA;3,5;"Action";1
"334";1994;93;NA;3,5;"Comedy";1
"335";1995;85;NA;2,9;"Action";1
"336";1995;85;NA;2,9;"Comedy";1
"337";1998;93;NA;2,2;"Action";1
"338";1998;93;NA;2,2;"Comedy";1
"339";1964;78;NA;5,2;"Comedy";1
"340";1954;103;NA;5,6;"Comedy";1
"341";1968;6;NA;6,3;"Animation";1
"342";1968;6;NA;6,3;"Comedy";1
"343";2000;82;6000000;3,7;"Comedy";1
"344";1977;124;1500000;7,7;"Drama";1
"345";1960;100;NA;6;"Animation";1
"346";1973;81;NA;5,2;"Action";1
"347";1985;106;NA;6,6;"Comedy";1
"348";1990;96;NA;6,6;"Action";1
"349";1990;96;NA;6,6;"Comedy";1
"350";2004;88;NA;4,6;"Drama";1
"351";1999;87;NA;4,2;"Comedy";1
"352";1999;87;NA;4,2;"Romance";1
"353";1959;75;NA;4,6;"Comedy";1
"354";2000;73;NA;5,4;"Documentary";1
"355";1968;85;NA;4,8;"Comedy";1
"356";1968;85;NA;4,8;"Romance";1
"357";1963;85;NA;6,7;"Comedy";1
"358";2001;110;NA;5,1;"Comedy";1
"359";2001;110;NA;5,1;"Drama";1
"360";2001;110;NA;5,1;"Romance";1
"361";1977;68;NA;2,5;"Comedy";1
"362";1998;91;NA;7,1;"Comedy";1
"363";1962;114;NA;6,4;"Drama";1
"364";2001;125;62000000;5,4;"Action";1
"365";2001;125;62000000;5,4;"Comedy";1
"366";1995;116;NA;3,9;"Drama";1
"367";1969;95;NA;6;"Drama";1
"368";1981;83;NA;7,3;"Action";1
"369";1995;27;NA;6,6;"Comedy";1
"370";1997;99;NA;6,6;"Drama";1
"371";1953;80;NA;5,7;"Drama";1
"372";1988;88;NA;6;"Drama";1
"373";1988;88;NA;6;"Romance";1
"374";1969;93;NA;3,7;"Action";1
"375";1934;77;NA;5,8;"Comedy";1
"376";2005;101;NA;5,6;"Comedy";1
"377";2005;101;NA;5,6;"Drama";1
"378";2005;70;NA;7,6;"Documentary";1
"379";1935;86;NA;8;"Drama";1
"380";1959;93;NA;6,6;"Drama";1
"381";1986;86;NA;4,5;"Action";1
"382";1986;86;NA;4,5;"Drama";1
"383";2003;5;NA;5;"Drama";1
"384";1960;79;NA;7,3;"Drama";1
"385";2004;126;NA;6,3;"Drama";1
"386";1964;16;NA;6,9;"Documentary";1
"387";1970;97;NA;7,9;"Comedy";1
"388";1928;97;NA;8,7;"Drama";1
"389";2003;123;NA;5,7;"Drama";1
"390";1997;102;NA;7,5;"Documentary";1
"391";2000;15;NA;5,5;"Drama";1
"392";1998;26;NA;6,1;"Drama";1
"393";1987;99;NA;7,6;"Comedy";1
"394";1987;99;NA;7,6;"Drama";1
"395";1963;124;NA;5,3;"Comedy";1
"396";1995;8;NA;8,2;"Animation";1
"397";1974;90;NA;3,7;"Comedy";1
"398";1999;97;NA;6,5;"Comedy";1
"399";1999;97;NA;6,5;"Documentary";1
"400";1965;105;NA;5,6;"Drama";1
"401";1973;110;NA;6;"Comedy";1
"402";2002;96;17000000;5,4;"Comedy";1
"403";2002;96;17000000;5,4;"Drama";1
"404";2002;96;17000000;5,4;"Romance";1
"405";1982;143;NA;7,5;"Drama";1
"406";1967;95;NA;5,8;"Romance";1
"407";1962;106;NA;6,3;"Comedy";1
"408";1986;80;NA;7,3;"Drama";1
"409";1976;100;NA;4,7;"Comedy";1
"410";1967;90;NA;5,5;"Comedy";1
"411";1939;52;NA;5;"Documentary";1
"412";2000;11;NA;6,9;"Action";1
"413";2000;11;NA;6,9;"Comedy";1
"414";2004;116;NA;8,3;"Comedy";1
"415";2000;90;NA;5,1;"Action";1
"416";2000;90;NA;5,1;"Comedy";1
"417";1933;89;439000;7,5;"Drama";1
"418";1933;89;439000;7,5;"Romance";1
"419";1933;6;NA;6,2;"Documentary";1
"420";1974;83;NA;6,4;"Drama";1
"421";1950;95;NA;7,6;"Comedy";1
"422";1982;96;NA;6,8;"Action";1
"423";1982;96;NA;6,8;"Comedy";1
"424";1982;96;NA;6,8;"Drama";1
"425";1964;88;NA;6,2;"Drama";1
"426";1953;73;NA;6,2;"Drama";1
"427";1941;104;NA;7,7;"Drama";1
"428";1959;85;NA;5,2;"Action";1
"429";1959;85;NA;5,2;"Romance";1
"430";2002;97;NA;4,2;"Comedy";1
"431";2002;97;NA;4,2;"Romance";1
"432";1955;84;NA;6,2;"Drama";1
"433";1960;118;NA;5,2;"Drama";1
"434";2002;96;NA;8,3;"Romance";1
"435";1996;94;1500;7,3;"Action";1
"436";1952;108;NA;7,6;"Drama";1
"437";1938;85;NA;6,5;"Comedy";1
"438";1957;81;NA;5,6;"Drama";1
"439";1968;85;NA;4,3;"Comedy";1
"440";2004;99;75000000;6,8;"Comedy";1
"441";2004;99;75000000;6,8;"Romance";1
"442";2004;95;NA;6,8;"Comedy";1
"443";2004;95;NA;6,8;"Romance";1
"444";1963;75;NA;3,4;"Comedy";1
"445";1982;87;NA;4;"Drama";1
"446";2005;106;NA;9,3;"Documentary";1
"447";2001;92;NA;6,4;"Comedy";1
"448";2000;41;NA;5,9;"Action";1
"449";2000;41;NA;5,9;"Romance";1
"450";1985;95;NA;8,7;"Drama";1
"451";2001;92;28000000;6,1;"Action";1
"452";2001;92;28000000;6,1;"Comedy";1
"453";1986;110;NA;5,9;"Action";1
"454";1937;80;NA;7;"Drama";1
"455";1998;100;13000000;5,4;"Drama";1
"456";1963;150;17000000;6,6;"Drama";1
"457";1939;83;NA;6,6;"Comedy";1
"458";2005;75;NA;5,2;"Drama";1
"459";2004;90;NA;6,6;"Drama";1
"460";2004;90;NA;6,6;"Romance";1
"461";1934;69;NA;6,7;"Comedy";1
"462";2004;85;NA;4,3;"Drama";1
"463";1964;103;NA;6,2;"Drama";1
"464";1981;11;NA;6,7;"Animation";1
"465";1936;89;NA;5,3;"Comedy";1
"466";1982;43;NA;5,3;"Documentary";1
"467";1996;100;NA;5,3;"Action";1
"468";2001;90;NA;7,1;"Comedy";1
"469";2001;90;NA;7,1;"Drama";1
"470";1969;98;NA;5,8;"Drama";1
"471";1999;11;NA;5,5;"Comedy";1
"472";2000;123;82000000;5,9;"Action";1
"473";2002;94;NA;7,9;"Documentary";1
"474";1989;90;NA;4,8;"Action";1
"475";1989;90;NA;4,8;"Comedy";1
"476";1983;85;NA;3,1;"Action";1
"477";1983;85;NA;3,1;"Comedy";1
"478";1941;4;NA;6;"Animation";1
"479";1966;87;NA;6,2;"Drama";1
"480";2003;90;NA;6;"Drama";1
"481";2004;95;NA;5;"Comedy";1
"482";2003;97;NA;6,3;"Comedy";1
"483";1971;98;NA;3,4;"Comedy";1
"484";1994;90;NA;5,4;"Action";1
"485";2002;110;NA;4,8;"Action";1
"486";2002;110;NA;4,8;"Comedy";1
"487";1985;96;NA;4,7;"Drama";1
"488";1994;95;NA;6,6;"Drama";1
"489";1950;102;NA;7;"Drama";1
"490";1972;93;NA;3,3;"Action";1
"491";1972;93;NA;3,3;"Drama";1
"492";2004;100;1600000;6;"Action";1
"493";2004;100;1600000;6;"Drama";1
"494";2000;85;NA;6,6;"Comedy";1
"495";1985;4;NA;7,9;"Animation";1
"496";1969;25;NA;6,2;"Documentary";1
"497";1964;123;NA;5,3;"Drama";1
"498";2003;72;NA;7;"Documentary";1
"499";1958;88;650000;6,9;"Action";1
"500";1950;7;NA;7,4;"Animation";1
"501";1950;7;NA;7,4;"Comedy";1
"502";1997;94;NA;4,8;"Comedy";1
"503";2002;110;41000000;6,8;"Drama";1
"504";1986;115;NA;4,9;"Action";1
"505";1994;105;NA;5,9;"Drama";1
"506";2002;111;NA;7,1;"Comedy";1
"507";1981;77;NA;5,8;"Comedy";1
"508";1969;107;NA;5,1;"Drama";1
"509";2003;9;10000;8,3;"Comedy";1
"510";1963;113;NA;5,5;"Drama";1
"511";2002;124;NA;6,5;"Comedy";1
"512";1987;100;NA;7,3;"Drama";1
"513";1987;100;NA;7,3;"Romance";1
"514";1994;12;NA;7,8;"Documentary";1
"515";2002;100;NA;6,2;"Romance";1
"516";2004;71;NA;5,2;"Drama";1
"517";2004;71;NA;5,2;"Romance";1
"518";2003;120;NA;7,5;"Drama";1
"519";1961;120;NA;7,8;"Drama";1
"520";1977;101;NA;6,7;"Drama";1
"521";1956;6;NA;7,1;"Animation";1
"522";2001;75;NA;7,4;"Documentary";1
"523";2001;72;NA;5,1;"Documentary";1
"524";1990;29;NA;7,1;"Documentary";1
"525";1959;90;NA;4,5;"Comedy";1
"526";1951;88;NA;3,6;"Comedy";1
"527";1977;101;NA;2,3;"Comedy";1
"528";1992;100;NA;5,9;"Action";1
"529";1992;100;NA;5,9;"Comedy";1
"530";1992;100;NA;5,9;"Romance";1
"531";1975;93;NA;5,9;"Comedy";1
"532";1975;93;NA;5,9;"Drama";1
"533";1998;90;NA;6,3;"Action";1
"534";1997;90;NA;4,7;"Comedy";1
"535";1997;42;NA;1,8;"Comedy";1
"536";1997;42;NA;1,8;"Romance";1
"537";2002;79;NA;6,1;"Drama";1
"538";1953;83;NA;7;"Drama";1
"539";1998;13;NA;4;"Drama";1
"540";1969;108;NA;5,6;"Action";1
"541";1969;108;NA;5,6;"Drama";1
"542";1967;104;NA;7,1;"Comedy";1
"543";1967;104;NA;7,1;"Drama";1
"544";2000;10;NA;6,7;"Comedy";1
"545";2000;10;NA;6,7;"Romance";1
"546";1998;136;NA;5,1;"Documentary";1
"547";2002;60;NA;2,3;"Documentary";1
"548";1996;17;NA;5,6;"Drama";1
"549";2004;104;NA;5,2;"Comedy";1
"550";1965;84;NA;6,1;"Action";1
"551";1991;144;NA;6,2;"Drama";1
"552";1991;94;NA;7,5;"Drama";1
"553";1932;8;NA;6,3;"Animation";1
"554";1932;8;NA;6,3;"Comedy";1
"555";1953;14;NA;6,1;"Drama";1
"556";1989;161;NA;3,9;"Comedy";1
"557";1961;104;NA;5,9;"Comedy";1
"558";2002;98;NA;5,3;"Comedy";1
"559";1967;99;NA;6,4;"Drama";1
"560";1961;102;NA;7,3;"Drama";1
"561";1986;115;NA;6,6;"Documentary";1
"562";2000;87;NA;5,6;"Comedy";1
"563";1999;90;NA;5,9;"Drama";1
"564";1980;90;NA;5,3;"Comedy";1
"565";1998;98;NA;7,3;"Drama";1
"566";1998;98;NA;7,3;"Romance";1
"567";1975;100;NA;5,6;"Comedy";1
"568";1975;100;NA;5,6;"Drama";1
"569";2002;96;NA;6,3;"Comedy";1
"570";2000;89;NA;3,6;"Comedy";1
"571";1988;93;NA;7,4;"Drama";1
"572";1996;94;NA;3,5;"Comedy";1
"573";1997;95;NA;2,7;"Comedy";1
"574";1984;102;NA;4,5;"Comedy";1
"575";1977;104;NA;6,7;"Drama";1
"576";1972;188;NA;8,6;"Action";1
"577";2002;90;NA;6,3;"Romance";1
"578";1997;90;NA;6,3;"Drama";1
"579";1939;17;NA;8;"Comedy";1
"580";1942;68;NA;5,6;"Comedy";1
"581";1966;6;NA;6;"Animation";1
"582";1966;6;NA;6;"Comedy";1
"583";1938;8;NA;5,6;"Animation";1
"584";1938;8;NA;5,6;"Comedy";1
"585";1948;7;NA;7,9;"Animation";1
"586";1948;7;NA;7,9;"Comedy";1
"587";1966;6;NA;5;"Animation";1
"588";1966;6;NA;5;"Comedy";1
"589";2003;115;NA;3,8;"Comedy";1
"590";1966;82;NA;1,2;"Action";1
"591";1988;98;NA;5,9;"Comedy";1
"592";1985;71;NA;7,7;"Documentary";1
"593";2002;90;NA;5,5;"Comedy";1
"594";1995;65;NA;8,2;"Documentary";1
"595";1918;5;NA;5,3;"Animation";1
"596";1918;5;NA;5,3;"Comedy";1
"597";1970;85;NA;5,7;"Documentary";1
"598";2004;86;NA;6;"Comedy";1
"599";1977;96;NA;6,1;"Documentary";1
"600";2001;83;NA;6,5;"Documentary";1
"601";1978;85;NA;3,7;"Comedy";1
"602";1978;85;NA;3,7;"Documentary";1
"603";2001;5;NA;3,3;"Animation";1
"604";1975;20;NA;6,6;"Documentary";1
"605";1999;105;200000;5,4;"Drama";1
"606";1998;60;NA;4;"Documentary";1
"607";2002;123;NA;6;"Drama";1
"608";2004;102;45000000;5,4;"Action";1
"609";1999;178;NA;5,5;"Drama";1
"610";1999;178;NA;5,5;"Romance";1
"611";1973;148;NA;8,1;"Romance";1
"612";1993;155;NA;8,4;"Comedy";1
"613";1968;175;NA;8,2;"Romance";1
"614";1948;138;NA;6,5;"Romance";1
"615";1953;150;NA;6,7;"Drama";1
"616";1953;150;NA;6,7;"Romance";1
"617";1986;164;NA;8,2;"Action";1
"618";2004;92;NA;6,8;"Comedy";1
"619";2001;150;NA;5,2;"Comedy";1
"620";1952;101;NA;7,1;"Romance";1
"621";2004;149;NA;4,8;"Action";1
"622";2004;149;NA;4,8;"Drama";1
"623";1975;133;NA;7;"Drama";1
"624";1993;170;NA;5,4;"Comedy";1
"625";2002;165;NA;6,8;"Comedy";1
"626";2002;165;NA;6,8;"Drama";1
"627";1986;144;NA;7,3;"Drama";1
"628";1999;26;NA;6,2;"Drama";1
"629";1974;153;NA;6,6;"Drama";1
