"";"year";"length";"budget";"rating";"Action";"Animation";"Comedy";"Drama";"Documentary";"Romance"
"39";1934;52;NA;4,6;0;0;0;0;0;0
"40";1986;96;NA;6,8;0;0;0;1;0;0
"41";1989;90;NA;3,9;0;0;1;0;0;0
"42";1941;120;NA;7,2;0;0;0;1;0;0
"43";2001;83;NA;4,9;0;0;0;1;0;0
"44";1986;133;NA;7,3;0;0;0;1;0;0
"45";1975;90;NA;5,5;1;0;0;1;0;0
"46";1951;15;NA;5,3;0;0;0;0;0;0
"47";1907;15;NA;5,8;0;1;0;0;0;0
"48";1997;113;23000000;4,8;0;0;1;0;0;1
"49";1940;99;NA;6,3;0;0;0;1;0;1
"50";1940;9;NA;5,9;0;0;0;0;1;0
"51";1989;101;NA;6;0;0;1;0;0;0
"52";2002;13;NA;7,2;0;0;0;1;0;0
"53";2002;82;NA;4,8;0;0;0;1;0;0
"54";1996;118;NA;6,6;0;0;0;1;0;1
"55";2001;80;NA;1,4;0;0;0;1;0;0
"56";2004;87;NA;5,6;0;0;1;0;0;0
"57";2002;92;NA;4,9;0;0;0;1;0;0
"58";1987;106;NA;5,7;0;0;1;0;0;0
"59";1987;7;NA;9,4;0;1;1;0;0;0
"60";1959;96;NA;6,3;0;0;0;1;0;0
"61";1932;77;NA;5,8;0;0;1;0;0;0
"62";1967;95;NA;3,6;0;0;0;0;0;0
"63";1981;113;NA;5,6;1;0;1;1;0;1
"64";1990;84;NA;5,3;0;0;0;1;0;1
"65";1979;119;NA;7;0;0;0;1;0;0
"66";1973;93;NA;4,4;0;0;0;0;0;0
"67";1935;104;NA;6;0;0;1;1;0;0
"68";1977;109;NA;5,2;0;0;1;1;0;0
"69";1998;106;NA;6,1;0;0;1;0;0;0
"70";1997;8;NA;2,6;0;0;0;0;0;0
"71";1978;10;NA;7,9;0;1;1;0;0;0
"72";2000;5;NA;6,2;0;0;0;0;0;0
"73";1980;96;NA;5,7;0;0;0;1;0;0
"74";1990;88;NA;4,7;1;0;0;0;0;0
"75";1999;92;NA;4,6;0;0;0;1;0;0
"76";2004;22;NA;8,1;0;0;1;0;0;0
"77";1975;90;NA;6,8;0;0;0;0;0;0
"78";1984;82;NA;5,8;0;0;1;0;0;0
"79";2005;95;NA;5;0;0;0;1;0;1
"80";1996;88;NA;3,6;0;0;0;0;0;0
"81";1974;15;NA;8,3;0;0;0;0;0;0
"82";1971;96;NA;6,1;0;0;0;1;0;0
"83";1968;100;NA;3,9;0;0;0;0;0;0
"84";1976;98;NA;5,8;0;0;0;0;0;0
"85";1968;105;NA;5,3;0;0;0;1;0;1
"86";1970;100;NA;6;1;0;0;1;0;0
"87";1958;94;NA;5,7;0;0;0;0;0;0
"88";2000;95;NA;5,9;0;0;1;0;0;1
"89";1957;97;NA;6,8;0;0;0;0;0;0
"90";2001;14;NA;7,1;0;0;0;0;0;0
"91";2002;96;5000000;3,7;0;0;0;0;0;0
"92";1994;90;NA;5,9;0;0;1;0;0;0
"93";1964;83;NA;3,6;1;0;1;0;0;0
"94";1965;90;NA;4,7;0;0;1;0;0;0
"95";1994;87;NA;6,4;0;0;0;1;0;1
"96";2004;117;NA;6,3;0;0;0;1;0;0
"97";1966;101;NA;1,8;0;0;1;0;0;0
"98";1954;95;NA;4,6;0;0;0;1;0;0
"99";1955;96;NA;4,2;0;0;0;1;0;0
"100";1955;110;NA;3,7;0;0;0;1;0;0
"101";2002;155;NA;6,6;0;0;0;0;1;0
"102";1979;85;NA;7,5;0;0;1;0;0;0
"103";1935;70;NA;6,2;0;0;1;0;0;0
"104";2003;72;NA;4,9;0;0;1;0;1;0
"105";1960;125;NA;7,3;0;0;0;1;0;0
"106";1952;105;NA;6,9;0;0;0;0;0;0
"107";1986;48;NA;8,1;0;0;0;0;1;0
"108";1979;122;NA;5,7;0;0;1;0;0;1
"109";1977;84;NA;2,6;1;0;0;1;0;0
"110";1971;111;NA;7,2;0;0;0;1;0;0
"111";1998;10;NA;7,3;0;0;0;0;0;0
"112";1999;97;16000000;6,7;0;0;1;0;0;1
"113";1982;95;NA;3,8;1;0;0;1;0;0
"114";1973;92;NA;8,6;0;0;1;0;0;0
"115";2004;240;NA;7,9;0;0;0;1;0;0
"116";2004;88;NA;5,9;0;0;0;0;1;0
"117";2003;6;NA;6,1;0;0;0;0;0;0
"118";1983;101;NA;5,4;1;0;0;0;0;0
"119";1967;100;NA;3,6;0;0;0;0;0;0
"120";1997;28;NA;8,8;0;0;0;0;0;0
"121";1991;161;NA;5,8;0;0;0;0;0;1
"122";2001;100;NA;6,2;0;0;0;1;0;0
"123";2000;90;NA;5,8;0;0;1;0;0;1
"124";2002;98;1100000;5,6;0;0;1;0;0;0
"125";2001;88;NA;5,5;0;0;1;0;0;0
"126";1997;94;140000;3,3;0;0;0;1;0;0
"127";1969;110;NA;5,6;0;0;0;0;0;0
"128";1994;9;NA;9,2;0;0;0;0;1;0
"129";2004;100;NA;5,9;0;0;0;1;0;0
"130";1995;101;NA;4,6;0;0;0;1;0;0
"131";1971;92;NA;6,1;0;0;0;1;0;0
"132";1994;95;NA;5,1;0;0;0;1;0;0
"133";1963;79;NA;2,2;0;0;1;0;0;0
"134";1997;18;NA;8;0;0;0;0;0;0
"135";1959;75;NA;5,2;0;1;0;0;0;0
"136";1986;79;NA;7,7;0;0;0;0;0;0
"137";1998;23;NA;7,3;0;0;0;0;0;0
"138";1990;98;NA;5,1;0;0;0;1;0;0
"139";1989;117;200000;7,8;0;0;0;0;1;0
"140";1996;103;NA;5,5;0;0;1;0;0;0
"141";2000;78;NA;6,3;0;0;0;0;1;0
"142";2000;100;NA;5,5;0;0;1;0;0;0
"143";2001;103;200000;5,8;0;0;0;1;0;0
"144";1993;112;NA;5,2;0;0;1;0;0;1
"145";2000;100;85000000;4,7;0;0;1;0;0;0
"146";2000;14;NA;6;0;0;0;0;0;0
"147";1966;85;NA;6,2;0;0;0;1;0;0
"148";2004;105;NA;7,4;0;0;0;0;1;0
"149";1974;94;NA;6;0;0;1;0;0;0
"150";2000;11;NA;8,4;0;0;0;0;0;0
"151";2004;85;NA;4,7;0;0;1;0;0;0
"152";2002;134;NA;6,9;0;0;0;1;0;0
"153";2004;95;NA;4,3;0;0;0;0;0;0
"154";2003;95;6000000;7,1;0;0;1;1;0;0
"155";1969;94;NA;5,5;0;0;1;0;0;0
"156";1957;96;340000;8,7;0;0;0;1;0;0
"157";2001;150;NA;5,2;0;0;0;1;0;0
"158";1998;86;NA;5,1;0;0;0;1;0;0
"159";2003;4;NA;5,2;0;0;1;0;0;0
"160";1999;18;NA;7,2;0;0;1;0;0;0
"161";2001;89;NA;6,2;0;0;1;1;0;0
"162";1956;55;NA;8,5;0;1;0;0;0;0
"163";1971;161;NA;8,9;0;0;1;0;0;0
"164";1960;74;150000;2,8;0;0;0;0;0;0
"165";1997;60;NA;2,4;0;0;1;0;0;0
"166";1959;85;NA;5,2;0;0;0;1;0;0
"167";1990;25;NA;7,4;0;0;0;0;0;0
"168";2002;92;NA;8,2;0;0;0;1;0;0
"169";2003;85;NA;2,2;1;0;0;0;0;0
"170";1960;69;NA;4,2;0;0;0;0;0;0
"171";1963;89;NA;5;0;0;0;0;0;0
"172";1960;85;NA;5,6;0;0;0;0;0;0
"173";2004;98;37000000;6,4;0;0;1;1;0;1
"174";2004;135;NA;9;0;0;0;0;1;0
"175";2002;93;NA;5,6;0;0;1;0;0;0
"176";1947;95;NA;6,8;0;0;0;0;0;0
"177";1962;80;NA;6,3;0;0;0;1;0;0
"178";2003;122;NA;7,2;0;0;0;0;0;0
"179";1982;110;NA;6,4;0;0;0;1;0;0
"180";1987;89;NA;6,8;0;0;0;0;0;0
"181";1988;88;NA;4,3;0;0;0;0;0;0
"182";2003;58;NA;4,9;0;0;0;0;0;0
"183";1951;85;NA;6,1;0;0;0;0;0;0
"184";1937;70;NA;5,1;0;0;0;0;0;0
"185";2000;85;NA;3,9;0;0;0;0;0;0
"186";1999;102;85000000;6,1;1;0;0;0;0;0
"187";1952;7;NA;7,2;0;1;1;0;0;0
"188";2003;52;NA;8,3;0;0;0;1;1;0
"189";1985;83;NA;3,6;0;0;0;1;0;0
"190";1973;105;NA;6,7;0;0;0;0;0;0
"191";1998;27;NA;7;0;0;0;0;0;0
"192";1992;154;47000000;6;0;0;0;1;0;0
"193";1998;88;NA;5,5;0;0;1;1;0;1
"194";2003;90;NA;6,4;0;0;1;1;0;0
"195";1998;92;NA;6,5;0;0;0;1;0;0
"196";1999;25;NA;4,8;0;0;1;0;0;0
"197";2001;120;42000000;6,1;0;0;0;1;0;0
"198";2000;20;NA;6,4;0;0;0;0;0;0
"199";2000;120;NA;5,5;0;0;0;1;0;0
"200";2003;74;NA;5,6;0;0;0;1;0;0
"201";1985;145;NA;7,7;0;0;0;0;1;0
"202";2002;158;NA;7,3;1;0;0;0;0;0
"203";1948;82;NA;7,6;0;0;0;0;0;0
"204";1967;6;NA;5,5;0;0;0;0;0;0
"205";1995;86;NA;6,7;0;0;0;1;0;0
"206";1998;1;NA;5,1;0;0;0;0;1;0
"207";1998;107;NA;4,1;0;0;0;1;0;0
"208";1989;75;NA;4,4;0;0;0;0;0;0
"209";2001;95;NA;5,7;0;0;0;1;0;0
"210";1972;180;4000000;7,3;0;0;0;1;0;0
"211";1974;150;NA;5,2;0;0;0;0;0;0
"212";2004;23;NA;7,6;0;0;0;0;0;0
"213";1988;93;NA;4,8;0;0;1;0;0;0
"214";1999;87;NA;4,5;0;0;0;1;0;0
"215";1977;89;NA;2;1;0;0;1;0;0
"216";1991;98;NA;5,9;0;0;0;1;0;0
"217";2004;100;NA;8,5;0;0;0;1;1;0
"218";1934;80;NA;7;0;0;0;1;0;0
"219";1990;100;NA;4,2;0;0;0;1;0;0
"220";1997;58;NA;3;0;0;0;1;1;0
"221";1995;30;NA;7,8;0;1;0;0;0;0
"222";2000;82;NA;7;0;0;0;1;0;0
"223";2002;77;NA;5,3;0;0;1;0;0;0
"224";1971;73;NA;5,4;0;0;0;0;0;0
"225";1976;245;9000000;7,5;0;0;0;1;0;0
"226";1985;94;NA;5,8;0;0;0;1;0;0
"227";1985;99;NA;5;0;0;0;1;0;0
"228";1997;8;NA;6,2;0;0;0;0;0;0
"229";1925;32;NA;8,2;0;0;0;0;1;0
"230";1989;193;NA;5,7;0;0;0;1;0;0
"231";1941;7;NA;7,9;0;0;0;0;0;0
"232";1979;146;35000000;5,6;0;0;1;0;0;0
"233";1993;157;NA;6,5;1;0;0;1;0;1
"234";1989;80;NA;7,3;0;0;0;1;0;0
"235";1955;18;NA;4,6;0;0;0;0;1;0
"236";1980;96;NA;5,9;1;0;0;1;0;0
"237";1988;95;NA;5,3;0;0;0;1;0;0
"238";2000;8;NA;4,4;0;1;0;0;0;0
"239";1974;90;NA;7,6;0;0;0;0;1;0
"240";1956;90;NA;6,9;0;0;0;1;0;0
"241";1982;89;NA;3,9;1;0;0;0;0;0
"242";1992;99;NA;6,9;0;0;0;0;1;0
"243";1998;80;NA;7,9;0;0;0;0;0;0
"244";1998;92;NA;5,3;0;0;0;1;0;0
"245";1988;90;NA;6,5;0;0;0;1;0;0
"246";1999;86;NA;5,6;0;0;1;0;0;1
"247";1905;1;NA;5,2;0;0;1;0;0;0
"248";2002;76;NA;1,5;0;0;0;1;0;0
"249";1996;104;NA;6,4;0;0;0;1;0;0
"250";1997;90;NA;6,5;0;0;0;1;0;0
"251";2003;107;76000000;5,1;1;0;0;0;0;0
"252";2000;97;NA;4,4;1;0;0;0;0;0
"253";1999;87;NA;6,5;0;0;1;1;0;0
"254";1966;90;NA;8,2;0;0;0;0;0;0
"255";1968;95;NA;6,9;0;0;1;0;0;0
"256";2001;8;NA;6,9;0;0;0;0;0;0
"257";1997;12;NA;7,2;0;0;0;0;1;0
"258";1967;90;NA;6,7;0;0;0;1;0;0
"259";2003;96;NA;5,5;0;0;1;1;0;0
"260";1998;100;NA;6,8;0;0;1;1;0;1
"261";2004;28;NA;8,2;0;0;1;0;0;0
"262";1965;89;NA;3,3;0;0;0;0;0;0
"263";1944;97;NA;5,9;0;0;0;0;0;0
"264";2000;25;NA;5,5;0;0;0;0;0;0
"265";1998;87;60000;5,4;0;0;1;0;1;1
"266";2004;74;NA;6,7;0;0;0;1;0;0
"267";1957;82;NA;6,2;0;0;0;0;0;0
"268";1940;84;NA;7,1;0;0;0;0;0;0
"269";1933;20;NA;6,5;0;0;1;0;0;0
"270";1916;105;200000;6,2;1;0;0;0;0;0
"271";1932;78;NA;7;0;0;0;1;0;0
"272";1997;93;NA;3,7;0;0;0;0;0;0
"273";1955;97;NA;8,6;0;0;0;0;0;0
"274";1999;20;NA;1;0;0;1;0;0;0
"275";2003;84;NA;5,4;0;0;0;0;0;1
"276";1999;101;6000000;5,4;0;0;1;1;0;0
"277";1971;98;679000;5,2;0;0;1;0;0;0
"278";2000;70;NA;7,9;0;0;0;0;1;0
"279";1969;80;NA;4,4;0;0;1;0;0;0
"280";1954;127;5000000;7,1;0;0;0;1;0;0
"281";1999;99;NA;3,1;1;0;0;0;0;0
"282";1968;156;10500000;8,3;0;0;0;0;0;0
"283";2000;99;26000000;2,5;0;0;1;0;0;0
"284";1994;90;NA;4;1;0;1;1;0;0
"285";2002;136;NA;6,6;1;0;0;1;0;0
"286";1964;96;NA;7,1;0;0;0;0;0;0
"287";1984;116;NA;6,5;0;0;0;0;0;0
"288";1984;18;NA;5,8;0;0;0;0;1;0
"289";1983;91;NA;5,3;1;0;0;0;0;0
"290";1980;185;NA;6,8;0;0;0;1;0;0
"291";2004;129;12000000;7,6;0;0;0;1;0;1
"292";1969;75;NA;5,3;0;0;0;0;0;0
"293";1984;10;NA;6,4;0;0;0;0;1;0
"294";2004;113;NA;7,1;0;0;1;1;0;1
"295";2003;101;NA;6,3;0;0;0;1;0;0
"296";2000;105;NA;6;0;0;1;1;0;1
"297";2003;124;20000000;8;0;0;0;1;0;0
"298";1964;10;NA;6,1;0;0;0;0;0;0
"299";1997;100;NA;3,8;0;0;0;0;0;0
"300";1996;285;NA;7,6;0;0;0;0;1;0
"301";1979;121;NA;6;0;0;0;1;0;0
"302";1998;100;NA;7,2;0;0;0;1;0;0
"303";1930;10;NA;4,8;0;0;1;0;0;0
"304";1956;103;NA;7;0;0;0;0;0;0
"305";2000;12;NA;4,3;0;0;0;0;0;0
"306";1993;84;NA;7;0;0;0;0;0;0
"307";2002;188;NA;6,3;0;0;0;0;0;0
"308";2002;91;NA;7,4;0;0;0;1;0;0
"309";1997;96;NA;6,7;0;0;1;1;0;0
"310";2002;117;NA;7,2;0;0;1;1;0;0
"311";1999;93;2500000;5,6;0;0;1;0;0;0
"312";1931;66;NA;7;0;0;0;0;0;0
"313";2000;90;NA;3,8;0;0;0;0;0;0
"314";1999;97;NA;6,3;0;0;1;0;0;0
"315";2000;86;NA;6;0;0;0;1;0;0
"316";2002;107;NA;5,6;0;0;0;1;0;0
"317";1977;114;NA;7,6;0;0;0;0;0;0
"318";1969;95;NA;8,1;0;0;1;0;0;0
"319";1999;8;NA;5,9;0;0;1;0;0;0
"320";2001;11;NA;4,8;0;0;0;0;0;0
"321";2000;6;NA;4,8;0;0;0;0;0;0
"322";2004;92;NA;6,4;0;0;0;0;0;0
"323";2002;90;NA;6,2;0;0;0;0;0;0
"324";2001;92;200000;7;0;0;1;1;0;0
"325";1989;5;NA;7,2;0;1;1;0;0;0
"326";2002;135;15000000;7,8;0;0;0;1;0;0
"327";1996;17;NA;4,7;0;0;0;0;0;0
"328";1974;118;NA;8,9;0;0;0;0;0;0
"329";2000;98;NA;6,6;0;0;1;1;0;1
"330";1986;81;NA;5,2;0;0;0;0;0;0
"331";1974;86;NA;5;0;0;0;1;0;0
"332";1957;75;NA;5,9;0;0;0;0;0;0
"333";2000;103;43000000;6;0;0;0;1;0;0
"334";2002;113;8000000;7,3;0;0;0;0;0;0
"335";1967;90;NA;3,9;0;0;0;0;0;0
"336";1971;90;NA;6,2;0;0;0;1;0;0
"337";2002;93;NA;4,7;0;0;1;1;0;0
"338";1991;101;NA;6,9;0;0;1;0;0;0
"339";2004;88;NA;7,3;0;0;1;1;0;0
"340";2002;70;NA;7,3;0;0;0;0;0;0
"341";1998;90;NA;6,4;0;0;0;1;0;0
"342";2002;104;NA;9,4;0;0;0;0;0;0
"343";1971;86;NA;6;0;0;0;1;0;0
"344";1976;72;NA;6,9;0;0;0;0;0;0
"345";2001;88;NA;5,9;0;0;0;0;0;0
"346";2003;22;32000;4,8;0;0;0;0;0;0
"347";1926;122;NA;5,6;0;0;0;0;0;0
"348";2000;88;NA;6,5;0;0;1;0;0;0
"349";2002;98;NA;5,8;0;0;0;1;0;0
"350";1937;17;NA;7,1;0;0;1;0;0;0
"351";2003;63;NA;7;0;0;0;0;1;0
"352";1948;106;NA;6,9;0;0;0;1;0;0
"353";1990;100;NA;2,2;0;0;0;0;0;0
"354";1990;104;NA;4,5;0;0;1;0;0;0
"355";2000;3;NA;4,3;0;0;0;0;0;0
"356";1998;11;NA;7,2;0;1;1;0;0;0
"357";1992;98;NA;4;1;0;1;0;0;0
"358";1994;93;NA;3,5;1;0;1;0;0;0
"359";1995;85;NA;2,9;1;0;1;0;0;0
"360";1998;93;NA;2,2;1;0;1;0;0;0
"361";1964;78;NA;5,2;0;0;1;0;0;0
"362";1954;103;NA;5,6;0;0;1;0;0;0
"363";1968;6;NA;6,3;0;1;1;0;0;0
"364";2000;82;6000000;3,7;0;0;1;0;0;0
"365";2000;21;NA;5;0;0;0;0;0;0
"366";2002;51;NA;7;0;0;0;0;0;0
"367";1977;124;1500000;7,7;0;0;0;1;0;0
"368";1960;100;NA;6;0;1;0;0;0;0
"369";1973;81;NA;5,2;1;0;0;0;0;0
"370";1985;106;NA;6,6;0;0;1;0;0;0
"371";2001;105;NA;6,4;0;0;0;0;0;0
"372";1990;96;NA;6,6;1;0;1;0;0;0
"373";2004;88;NA;4,6;0;0;0;1;0;0
"374";1999;87;NA;4,2;0;0;1;0;0;1
"375";1959;75;NA;4,6;0;0;1;0;0;0
"376";2000;73;NA;5,4;0;0;0;0;1;0
"377";1968;85;NA;4,8;0;0;1;0;0;1
"378";1965;95;NA;3,4;0;0;0;0;0;0
"379";1963;85;NA;6,7;0;0;1;0;0;0
"380";2001;110;NA;5,1;0;0;1;1;0;1
"381";2000;105;NA;5,8;0;0;0;0;0;0
"382";1977;68;NA;2,5;0;0;1;0;0;0
"383";1998;91;NA;7,1;0;0;1;0;0;0
"384";1962;114;NA;6,4;0;0;0;1;0;0
"385";2001;125;62000000;5,4;1;0;1;0;0;0
"386";1995;100;NA;6,8;0;0;0;0;0;0
"387";1995;116;NA;3,9;0;0;0;1;0;0
"388";2003;27;NA;2,8;0;0;0;0;0;0
"389";1965;86;NA;8;0;0;0;0;0;0
"390";1969;95;NA;6;0;0;0;1;0;0
"391";1981;83;NA;7,3;1;0;0;0;0;0
"392";1995;27;NA;6,6;0;0;1;0;0;0
"393";1997;99;NA;6,6;0;0;0;1;0;0
"394";1981;122;NA;7,7;0;0;0;0;0;0
"395";1980;92;NA;5,1;0;0;0;0;0;0
"396";1953;80;NA;5,7;0;0;0;1;0;0
"397";1965;115;NA;7,3;0;0;0;0;0;0
"398";1988;88;NA;6;0;0;0;1;0;1
"399";1969;93;NA;3,7;1;0;0;0;0;0
"400";1934;77;NA;5,8;0;0;1;0;0;0
"401";2000;83;NA;7,8;0;0;0;0;0;0
"402";2005;101;NA;5,6;0;0;1;1;0;0
"403";2005;70;NA;7,6;0;0;0;0;1;0
"404";1935;86;NA;8;0;0;0;1;0;0
"405";1959;93;NA;6,6;0;0;0;1;0;0
"406";1957;92;NA;7,7;0;0;0;0;0;0
"407";1986;86;NA;4,5;1;0;0;1;0;0
"408";2005;21;NA;8,8;0;0;0;0;0;0
"409";2000;24;NA;6;0;0;0;0;0;0
"410";2003;5;NA;5;0;0;0;1;0;0
"411";1931;112;NA;6,9;0;0;0;0;0;0
"412";1960;79;NA;7,3;0;0;0;1;0;0
"413";2004;126;NA;6,3;0;0;0;1;0;0
"414";1964;16;NA;6,9;0;0;0;0;1;0
"415";1970;97;NA;7,9;0;0;1;0;0;0
"416";1928;97;NA;8,7;0;0;0;1;0;0
"417";2003;76;NA;5,1;0;0;0;0;0;0
"418";2003;123;NA;5,7;0;0;0;1;0;0
"419";1997;102;NA;7,5;0;0;0;0;1;0
"420";2000;15;NA;5,5;0;0;0;1;0;0
"421";1998;26;NA;6,1;0;0;0;1;0;0
"422";1999;15;NA;6;0;0;0;0;0;0
"423";1987;99;NA;7,6;0;0;1;1;0;0
"424";1963;124;NA;5,3;0;0;1;0;0;0
"425";1995;8;NA;8,2;0;1;0;0;0;0
"426";1974;90;NA;3,7;0;0;1;0;0;0
"427";1971;104;NA;6,3;0;0;0;0;0;0
"428";1999;97;NA;6,5;0;0;1;0;1;0
"429";1965;105;NA;5,6;0;0;0;1;0;0
"430";2002;12;NA;5,7;0;0;0;0;0;0
"431";1973;110;NA;6;0;0;1;0;0;0
"432";2002;96;17000000;5,4;0;0;1;1;0;1
"433";1982;143;NA;7,5;0;0;0;1;0;0
"434";1967;95;NA;5,8;0;0;0;0;0;1
"435";1962;106;NA;6,3;0;0;1;0;0;0
"436";1986;80;NA;7,3;0;0;0;1;0;0
"437";1976;100;NA;4,7;0;0;1;0;0;0
"438";1967;90;NA;5,5;0;0;1;0;0;0
"439";1941;100;NA;6,9;0;0;0;0;0;0
"440";1939;52;NA;5;0;0;0;0;1;0
"441";2000;11;NA;6,9;1;0;1;0;0;0
"442";2004;116;NA;8,3;0;0;1;0;0;0
"443";2000;90;NA;5,1;1;0;1;0;0;0
"444";1933;89;439000;7,5;0;0;0;1;0;1
"445";1933;6;NA;6,2;0;0;0;0;1;0
"446";1974;83;NA;6,4;0;0;0;1;0;0
"447";1950;95;NA;7,6;0;0;1;0;0;0
"448";1982;96;NA;6,8;1;0;1;1;0;0
"449";1967;81;NA;4,3;0;0;0;0;0;0
"450";1964;88;NA;6,2;0;0;0;1;0;0
"451";1953;73;NA;6,2;0;0;0;1;0;0
"452";1941;104;NA;7,7;0;0;0;1;0;0
"453";1959;85;NA;5,2;1;0;0;0;0;1
"454";1999;90;NA;5,7;0;0;0;0;0;0
"455";2002;97;NA;4,2;0;0;1;0;0;1
"456";1955;84;NA;6,2;0;0;0;1;0;0
"457";1960;118;NA;5,2;0;0;0;1;0;0
"458";1968;105;NA;6,2;0;0;0;0;0;0
"459";2002;96;NA;8,3;0;0;0;0;0;1
"460";1996;94;1500;7,3;1;0;0;0;0;0
"461";1996;96;25000;2;0;0;0;0;0;0
"462";1952;108;NA;7,6;0;0;0;1;0;0
"463";1938;85;NA;6,5;0;0;1;0;0;0
"464";1957;81;NA;5,6;0;0;0;1;0;0
"465";1970;90;NA;5,5;0;0;0;0;0;0
"466";1968;85;NA;4,3;0;0;1;0;0;0
"467";1974;95;NA;3,7;0;0;0;0;0;0
"468";1970;90;NA;5,4;0;0;0;0;0;0
"469";1969;81;NA;4,6;0;0;0;0;0;0
"470";1965;85;NA;4,8;0;0;0;0;0;0
"471";1953;89;1600000;6,7;0;0;0;0;0;0
"472";2004;99;75000000;6,8;0;0;1;0;0;1
"473";2004;95;NA;6,8;0;0;1;0;0;1
"474";1963;75;NA;3,4;0;0;1;0;0;0
"475";1982;87;NA;4;0;0;0;1;0;0
"476";2005;106;NA;9,3;0;0;0;0;1;0
"477";2001;92;NA;6,4;0;0;1;0;0;0
"478";2000;41;NA;5,9;1;0;0;0;0;1
"479";1985;95;NA;8,7;0;0;0;1;0;0
"480";2001;92;28000000;6,1;1;0;1;0;0;0
"481";1986;110;NA;5,9;1;0;0;0;0;0
"482";1937;80;NA;7;0;0;0;1;0;0
"483";1998;100;13000000;5,4;0;0;0;1;0;0
"484";1963;150;17000000;6,6;0;0;0;1;0;0
"485";1993;130;NA;7,9;0;0;0;0;0;0
"486";1939;83;NA;6,6;0;0;1;0;0;0
"487";2005;75;NA;5,2;0;0;0;1;0;0
"488";2004;90;NA;6,6;0;0;0;1;0;1
"489";1934;69;NA;6,7;0;0;1;0;0;0
"490";1999;22;NA;7,9;0;0;0;0;0;0
"491";2004;85;NA;4,3;0;0;0;1;0;0
"492";2001;100;NA;5,1;0;0;0;0;0;0
"493";1958;85;NA;4;0;0;0;0;0;0
"494";1939;62;NA;6,5;0;0;0;0;0;0
"495";1964;103;NA;6,2;0;0;0;1;0;0
"496";1981;11;NA;6,7;0;1;0;0;0;0
"497";1936;89;NA;5,3;0;0;1;0;0;0
"498";1982;43;NA;5,3;0;0;0;0;1;0
"499";1996;100;NA;5,3;1;0;0;0;0;0
"500";2001;90;NA;7,1;0;0;1;1;0;0
"501";1968;5;NA;5,1;0;0;0;0;0;0
"502";1969;98;NA;5,8;0;0;0;1;0;0
"503";1985;90;NA;6,1;0;0;0;0;0;0
"504";1999;11;NA;5,5;0;0;1;0;0;0
"505";2000;123;82000000;5,9;1;0;0;0;0;0
"506";2002;94;NA;7,9;0;0;0;0;1;0
"507";1964;100;NA;6,9;0;0;0;0;0;0
"508";1989;90;NA;4,8;1;0;1;0;0;0
"509";1983;85;NA;3,1;1;0;1;0;0;0
"510";1941;4;NA;6;0;1;0;0;0;0
"511";1966;87;NA;6,2;0;0;0;1;0;0
"512";2003;90;NA;6;0;0;0;1;0;0
"513";2004;95;NA;5;0;0;1;0;0;0
"514";2003;97;NA;6,3;0;0;1;0;0;0
"515";1971;98;NA;3,4;0;0;1;0;0;0
"516";1994;90;NA;5,4;1;0;0;0;0;0
"517";2002;110;NA;4,8;1;0;1;0;0;0
